action,source_ip_entropy,requests_per_min,distinct_resources_touched,is_public_acl,iam_wildcard_permissions,data_transfer_mb,new_role_assumed,off_hours,mfa_present,label,event_id,resource_type,account_id
GetObject,2.386020433845602,2,2,0,0,12.846202233186357,0,0,1,0,EVT-000000,Lambda,512321
AttachRolePolicy,2.303098326508164,5,1,0,0,0.5236377929328042,0,0,1,0,EVT-000001,IAM,591932
DeleteTrail,2.3338102189476233,4,1,0,0,0.04783256334810797,0,0,1,0,EVT-000002,S3,644551
CreateAccessKey,2.456941905403523,5,1,0,0,2.1135579597176815,0,0,1,0,EVT-000003,Lambda,205214
PutBucketPolicy,1.7878427611534216,3,2,1,1,1.626104872774086,1,0,0,1,EVT-000004,EC2,444600
GetCallerIdentity,2.2118047036346806,4,2,0,0,1.1659947399710666,0,0,1,0,EVT-000005,EC2,308060
GetCallerIdentity,1.9279461479529738,6,1,0,0,9.305339302367674,0,0,1,0,EVT-000006,EKS,255045
RunInstances,1.9285379323944438,6,1,0,0,31.116503347140462,0,1,1,0,EVT-000007,EKS,315353
PutBucketAcl,2.091602960417909,3,2,0,0,3.4779668495258664,0,0,1,0,EVT-000008,IAM,213543
GetCallerIdentity,1.7997527416045387,5,1,0,0,3.007147936935042,0,0,1,0,EVT-000009,EKS,438540
PutBucketPolicy,1.7114314276838667,1,1,1,0,10.222572852927044,0,1,1,1,EVT-000010,S3,200429
GetCallerIdentity,1.6550825776701896,8,2,0,0,1.9743962447190868,0,0,1,0,EVT-000011,S3,169693
AssumeRole,1.7192517985796125,0,2,0,0,2.5223086640232353,0,1,1,0,EVT-000012,EC2,222965
PutObject,1.96470181988276,2,2,0,0,9.628918382908322,0,0,1,0,EVT-000013,S3,472997
CreateAccessKey,2.5409575086566254,6,1,0,0,6.098129785463326,0,1,1,0,EVT-000014,S3,432019
DescribeInstances,1.6090548602805426,5,1,0,0,0.5877506737485024,0,0,1,0,EVT-000015,EC2,596407
AssumeRole,2.227264852767814,4,1,0,0,0.00016258148662162832,0,0,1,0,EVT-000016,EKS,696982
AttachRolePolicy,2.1551839505767236,5,2,1,1,0.29209428287348904,0,0,1,1,EVT-000017,IAM,238952
CopyObject,1.6777127333548831,3,2,0,0,1.9013371401136139,0,0,1,0,EVT-000018,EKS,660832
DescribeInstances,2.028807056766821,7,1,0,0,0.12239578231744469,0,0,1,0,EVT-000019,S3,268782
DescribeInstances,1.1814281201806471,3,2,0,0,5.191045224618076,0,0,1,0,EVT-000020,EKS,156351
AssumeRole,4.359926237651283,16,6,0,1,41.86530232983009,1,1,0,2,EVT-000021,IAM,784788
CreateAccessKey,1.8388371696947652,4,1,0,0,6.275028140336944,0,1,1,0,EVT-000022,S3,583881
DescribeInstances,1.9021462800403188,6,2,0,0,3.5099295854401635,0,0,1,0,EVT-000023,IAM,221048
PutObjectAcl,2.4005942029841467,2,3,1,0,0.9321877331036595,0,0,0,1,EVT-000024,S3,262125
DescribeInstances,2.0332337034674186,5,2,0,0,3.2074829717188402,0,0,1,0,EVT-000025,EKS,508836
ListBuckets,1.599319174250896,5,2,0,0,14.519968139457442,0,1,1,0,EVT-000026,S3,583313
AssumeRole,3.622167648761243,22,13,0,1,40.65312451981174,1,1,0,2,EVT-000027,EKS,787085
ConsoleLogin,1.4677188515652966,4,1,0,0,2.005719839605899,0,0,1,0,EVT-000028,Lambda,513811
ConsoleLogin,1.8861822223377673,3,2,0,0,8.682172782276249,0,0,1,0,EVT-000029,IAM,185570
GetCallerIdentity,4.847425358259424,22,14,0,1,4.314175097534473,1,0,0,2,EVT-000030,IAM,700897
InvokeFunction,2.1831544034336314,1,2,0,0,12.509947543301701,0,0,1,0,EVT-000031,Lambda,226136
GetObject,1.9123779389489277,2,2,0,0,8.2471425865058,0,0,1,0,EVT-000032,EC2,414300
ListBuckets,1.7636960973416143,6,1,0,0,8.050867300646207,0,0,1,0,EVT-000033,IAM,673830
GetObject,1.2350594906213135,4,2,0,0,0.15032481627984806,0,0,1,0,EVT-000034,Lambda,200751
PutObject,2.1699863589744597,3,1,0,0,8.463429228886449,0,0,1,0,EVT-000035,Lambda,452172
PutObject,1.864246906990025,4,1,0,0,1.0501427575898408,0,0,1,0,EVT-000036,EKS,699315
PutObject,1.917675600224526,1,1,0,0,2.297932089923539,0,0,1,0,EVT-000037,Lambda,417351
